sec,mw
1.3715178966522217,13.0
2.3789219856262207,29.0
3.3862640857696533,57.0
4.391242980957031,2.0
5.397799968719482,26.0
6.402544736862183,21.0
7.409433841705322,4.0
8.413073778152466,7.0
9.415557861328125,0.0
10.418633937835693,5.0
11.421647787094116,0.0
12.424635887145996,0.0
13.427586078643799,38.0
14.429561853408813,16.0
15.432599067687988,12.0
16.436869859695435,7.0
17.439876794815063,26.0
18.443278789520264,70.0
19.446340799331665,39.0
20.44935703277588,48.0
21.45247983932495,24.0
22.455529928207397,26.0
23.458662748336792,23.0
24.461612939834595,22.0
25.4648597240448,24.0
26.468105792999268,26.0
27.471131801605225,22.0
28.474202871322632,21.0
29.477264881134033,28.0
30.48053288459778,29.0
31.48359775543213,27.0
32.486790895462036,28.0
33.489789962768555,30.0
34.49313187599182,29.0
35.496227741241455,31.0
36.49955081939697,31.0
37.5026319026947,31.0
38.50539684295654,31.0
39.50874376296997,33.0
40.511695861816406,65.0
41.51499271392822,44.0
42.51796579360962,40.0
43.52103877067566,91.0
44.52411079406738,39.0
45.52727389335632,30.0
46.53039193153381,34.0
47.533753871917725,37.0
48.536847829818726,35.0
49.538869857788086,34.0
50.54223990440369,36.0
51.5452618598938,38.0
52.54851484298706,31.0
53.55152106285095,39.0
54.55461883544922,37.0
55.5580358505249,38.0
56.561012983322144,38.0
57.56426191329956,37.0
58.56731581687927,40.0
59.570327043533325,35.0
60.57367491722107,40.0
61.57682204246521,34.0
62.57993698120117,35.0
63.583263874053955,41.0
64.58626794815063,43.0
65.58939170837402,36.0
66.59272694587708,36.0
67.59576988220215,40.0
68.59894180297852,37.0
69.60197687149048,35.0
70.60505485534668,34.0
71.6080629825592,37.0
72.61033296585083,41.0
73.61342287063599,37.0
74.61650776863098,40.0
75.61952686309814,46.0
76.6225278377533,38.0
77.62575483322144,42.0
78.6287260055542,45.0
79.63170671463013,37.0
80.63447690010071,38.0
81.63749670982361,37.0
82.64045000076294,44.0
83.64369773864746,43.0
84.64672684669495,44.0
85.64987802505493,42.0
86.65290594100952,42.0
87.6560287475586,44.0
88.6592047214508,41.0
89.66236186027527,47.0
