face,emo,ear,alert,total
0.9589705840000002,0.9131284579999992,0.3531752079999997,3.3750000003607283e-06,2.2252776249999995
0.1860826669999991,0.04506412499999968,0.003248792000000833,3.082999999293179e-06,0.2343986669999989
0.09969620800000101,0.04419937499999982,0.004305541999999107,2.2500000014247235e-06,0.14820337500000136
0.16250325000000032,0.04638495799999909,0.0063912500000000705,0.00024975000000004854,0.21552920799999953
0.11874737499999988,0.0652540419999994,0.003356790999999859,4.750000000441901e-06,0.18736295799999958
0.14672233300000137,0.05912016699999967,0.0055457909999994115,6.917000000328244e-06,0.21139520800000078
0.17370716699999988,0.05540883299999955,0.002969958000001327,5.9589999992226694e-06,0.23209191699999998
0.19253495799999953,0.04821062500000117,0.0025947920000000124,2.6749999999964302e-05,0.24336712500000068
0.10856449999999995,0.05420254200000052,0.005778707999999355,8.541999999778227e-06,0.1685542919999996
0.10978362500000038,0.05483795800000024,0.0037930419999998577,2.9999999995311555e-06,0.16841762500000002
0.1283018330000001,0.059068458999998796,0.002797125000000733,2.7910000000019863e-06,0.19017020799999962
0.1932892500000012,0.04490254099999902,0.0026246670000009686,2.4579999990947954e-06,0.24081891600000027
0.07017766699999939,0.04575408300000028,0.005886166999999887,1.6291999999751283e-05,0.1218342089999993
0.09043908399999978,0.04557116600000022,0.0029606249999982737,5.04200000150945e-06,0.13897591699999978
0.07913612499999978,0.05752408300000056,0.0026260419999992735,2.500000000793534e-06,0.1392887500000004
0.12490779100000005,0.04427358400000081,0.0026082499999997566,5.541000000164331e-06,0.17179516600000078
0.09691279199999947,0.03950249999999933,0.006127541999999764,1.4708000000140942e-05,0.1425575419999987
0.0719734170000006,0.049151249999999536,0.003046917000000704,2.4580000008711522e-06,0.1241740420000017
0.12417949999999855,0.051398500000001235,0.0038522089999997178,2.2079999997259847e-06,0.17943241699999923
0.10649904199999938,0.05979479199999993,0.004535083000000384,6.29200000012986e-06,0.17083520899999982
0.09203133399999963,0.04940391600000105,0.0025834169999985335,6.416999999814266e-06,0.14402508399999903
0.08585920800000046,0.047586541999999454,0.0030564999999995734,2.5410000006331757e-06,0.13650479100000013
0.10510195900000063,0.04683437499999954,0.004658291000000148,2.0840000001243197e-06,0.15659670900000044
0.0921221670000012,0.050287790999998805,0.006037416999999934,6.29200000012986e-06,0.14845366700000007
0.16672075000000142,0.03735049999999873,0.006239208000000218,6.332999999969502e-06,0.21031679100000034
0.07927291699999905,0.04601279200000086,0.004620457999999772,4.917000000048688e-06,0.12991108399999973
0.13067691700000061,0.04405145800000021,0.0034242499999983522,5.333000000717902e-06,0.1781579579999999
0.10689204100000005,0.04127658400000023,0.005659915999999043,2.6250000004779395e-06,0.1538311659999998
0.16589354200000095,0.04301120799999936,0.0060575420000006375,5.583000000086713e-06,0.21496787500000103
0.0730101249999997,0.041582583000000284,0.003964874999999424,2.1249999999639613e-06,0.11855970799999938
0.0973435829999989,0.04197420800000096,0.0035167919999992137,4.50000000107309e-06,0.14283908300000014
0.10494312500000014,0.0430127080000009,0.0036154169999988994,4.416000001228326e-06,0.15157566600000116
0.08971524999999936,0.04667425000000058,0.006010374999998902,1.4042000000102917e-05,0.14241391699999895
0.08642399999999917,0.03647770899999969,0.0034669580000006306,4.832999998427567e-06,0.12637349999999792
0.108756249999999,0.042533333000001505,0.00586424999999835,1.4250000003102059e-05,0.15716808300000196
0.09009841699999654,0.04320145800000219,0.0024212500000011516,5.12499999771876e-06,0.1357262499999976
0.1272358330000003,0.0498447920000018,0.002592457999998743,5.417000000562666e-06,0.1796785000000014
0.11780249999999981,0.04405341700000065,0.0061982080000007045,5.999999999062311e-06,0.16806012500000023
0.11459216700000141,0.04675737499999855,0.006178708000000199,6.375000001668241e-06,0.16753462500000182
0.09590112500000103,0.04758808299999728,0.006142332999999667,1.5125000000892896e-05,0.14964666599999887
0.08128483400000164,0.04216929100000044,0.0025684169999991013,6.20799999850874e-06,0.1260287499999997
0.1453037909999999,0.04580358400000151,0.005115290999999189,5.833999999538264e-06,0.19622850000000014
0.111816417,0.045254500000002196,0.006267749999999239,1.5292000000499684e-05,0.16335395900000194
0.07434974999999966,0.04305391700000172,0.006145875000001411,1.545800000002373e-05,0.12356500000000281
0.12908062500000028,0.04705091699999997,0.006148499999998336,1.4291999999471727e-05,0.18229433399999806
0.1373557500000011,0.0486140000000006,0.0025877499999999998,2.416999997478797e-06,0.1885599169999992
0.11765983300000116,0.04193462499999967,0.002508500000001135,2.500000000793534e-06,0.16210545800000276
0.11035579200000001,0.04873137499999913,0.002773458000000062,2.0840000019006766e-06,0.1618627090000011
0.11570550000000068,0.03907812499999963,0.002378499999998951,2.2920000013471054e-06,0.1571644170000006
